ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Podocytes - Podocytes Selected	Podocytes - Intensity Cell HCScellmaskOrange Median	Podocytes - Intensity Cell HCScellmaskOrange Mean	Podocytes - Intensity CellPeriph Phalloidin647 Median	Podocytes - Intensity CellPeriph Phalloidin647 Mean	Podocytes - Intensity CellCenter Phalloidin647 Median	Podocytes - Intensity CellCenter Phalloidin647 Mean	Podocytes - Cell Roundness	Podocytes - Cell Area [µm²]	Podocytes - CellMorph Radial Relative Deviation	Podocytes - CellMorph Radial Mean	Podocytes - CellMorph Axial Length Ratio	Podocytes - CellMorph Axial Small Length	Podocytes - CellMorph Threshold Compactness 60%	Podocytes - CellMorph Threshold Compactness 50%	Podocytes - CellMorph Threshold Compactness 40%	Podocytes - CellMorph Threshold Compactness 30%	Podocytes - CellMorph Symmetry 15	Podocytes - CellMorph Symmetry 14	Podocytes - CellMorph Symmetry 13	Podocytes - CellMorph Symmetry 12	Podocytes - CellMorph Symmetry 05	Podocytes - CellMorph Symmetry 04	Podocytes - CellMorph Symmetry 03	Podocytes - CellMorph Symmetry 02	Podocytes - CellPeriphPhalloidin SER Bright 1 px	Podocytes - CellPeriphPhalloidin SER Ridge 1 px	Podocytes - CellPeriphPhalloidin SER Edge 1 px	Podocytes - CellCenterPhalloidin SER Bright 1 px	Podocytes - CellCenterPhalloidin SER Ridge 1 px	Podocytes - CellCenterPhalloidin SER Edge 1 px	Podocytes - Number of Spots per Area of CellPeriph	Podocytes - Number of Spots (2)	Podocytes - Relative Spot Intensity (2)	Podocytes - Total Spot Area (2)	Podocytes - Number of Spots per Area of CellCenter	Podocytes - Number of Spots	Podocytes - Relative Spot Intensity	Podocytes - Total Spot Area	ay	ax
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	1	349	188	[243,156,420,243]	0	4054	5354.5	2993	3308.29	3599	3793.85	0.498431	2608.89	0.605632	33.7622	0.344313	18.1728	0.736579	0.788057	0.521474	0.529467	0.161585	0.427451	0.147695	0.705722	0.126025	0.292337	0.162195	0.549724	0.0302756	0.0259693	0.124622	0.0216165	0.0185621	0.0782925	0.0216038	118	0.762458	2332	0.0252294	55	0.53499	1069	525.58	-443.04
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	2	448	343	[372,258,528,549]	1	2534	3089.03	1848	2712.62	1508	2517.83	0.451018	6718.47	0.532901	63.2042	0.303625	29.4259	0.676714	0.708982	0.494118	0.333906	0.180707	0.513481	0.130251	0.742159	0.159681	0.361842	0.0945025	0.593409	0.0414441	0.035282	0.15665	0.0287461	0.026005	0.136425	0.0196919	317	0.730021	5326	0.0219083	76	0.66414	1193	405.12	-367.7
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	3	48	467	[23,377,77,594]	0	2351	3946.9	1147	1485.9	1152	1287.94	0.419343	1986.48	0.592644	44.1968	0.153501	11.0236	0.524058	0.477716	0.452991	0.432692	0.138273	0.784169	0.0789018	0.905159	0.0832958	0.610148	0.121323	0.784057	0.0458683	0.0390736	0.147843	0.0306996	0.0243199	0.084474	0.0182413	78	0.787888	1255	0.0190664	29	0.518679	603	350.66	-615.68
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	4	50	1004	[30,965,73,1044]	0	4508	5083.35	3098	4079.12	3409	3866.63	0.651446	583.567	0.558154	15.4541	0.45829	10.4278	0.769699	0.748668	0.599908	0.615933	0.189146	0.421394	0.21598	0.528017	0.122272	0.270327	0.174101	0.369058	0.0643777	0.0555059	0.211664	0.042832	0.0358977	0.1114	0.0158395	15	0.58412	496	0.015748	12	0.355887	455	49.03	-611.98
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	5	808	1044	[683,1007,839,1078]	0	1059	1432.82	914	1004.18	1082	1130.52	0.557066	1805.49	0.616015	27.3208	0.353843	15.1377	0.932483	0.914668	0.762413	0.645958	0.134644	0.379333	0.0435718	0.659493	0.0974474	0.249847	0.0729045	0.473206	0.0323792	0.0259973	0.110654	0.025087	0.0191834	0.0826723	0.00357599	14	0.463165	195	0.000733676	1	0.410008	6	20.13	-183.05
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	6	797	37	[684,1,875,78]	0	1728	3015.27	947	1181.26	948	1176.84	0.503312	2936.21	0.663665	29.1531	0.524971	23	0.929587	0.939001	0.863495	0.761153	0.222028	0.15039	0.100772	0.406293	0.11119	0.0570929	0.0156614	0.22391	0.0401607	0.0327154	0.11519	0.039483	0.0320129	0.11872	0.0203811	123	0.715318	1933	0.0210444	54	0.518261	970	622.83	-168.38
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	7	926	41	[864,1,969,97]	0	2213	3797.62	761	1035.6	868	985.245	0.75027	2533.99	0.556153	23.5356	0.886651	25.2671	1.05607	1.03822	0.984522	0.982973	0.0644042	0.105048	0.142372	0.0735361	0.0269604	0.0567304	0.0808726	0.0424333	0.0309519	0.0248231	0.0996293	0.0298582	0.0238429	0.0949886	0.0144008	59	0.71543	725	0.0176172	59	0.586767	1150	617.43	-97.95
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	8	363	78	[304,1,427,135]	0	2661	3979.08	1974	2266.18	2239	2284.18	0.410145	3110.28	0.636094	30.0971	0.705232	29.0729	0.962546	0.774074	0.573064	0.578641	0.0896291	0.193283	0.0833685	0.234268	0.0507323	0.106973	0.0720778	0.149382	0.0339712	0.0278338	0.113769	0.0226113	0.0177932	0.0815821	0.0210493	132	0.771138	2194	0.0232722	66	0.644337	1250	600.44	-429.01
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	9	654	91	[605,1,719,174]	0	2082	3556.08	943	1095.89	1045	1197.69	0.59637	3529.14	0.684862	29.8402	0.450489	21.0085	0.932851	0.907151	0.887121	0.692295	0.113936	0.264475	0.0452851	0.513666	0.0556546	0.138387	0.0109768	0.322235	0.0404876	0.033157	0.113582	0.0349964	0.0313127	0.0910406	0.0202642	135	0.723493	1438	0.0180934	67	0.6033	1178	587.88	-254.85
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	10	1017	84	[943,1,1078,377]	1	1147	1879.24	1032	1335.64	1087	1165.97	0.562025	13015	0.627876	83.5819	0.309969	41.3229	0.79372	0.689977	0.555891	0.456455	0.132714	0.4065	0.116266	0.715557	0.0842197	0.248388	0.129832	0.556714	0.0288796	0.0235807	0.099732	0.0228646	0.0174123	0.0768878	0.0130881	397	0.664853	6546	0.0196487	151	0.54228	2191	533.29	-36.67
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	11	908	115	[856,56,992,193]	0	1647	2586.09	872	1048.38	828	916.508	0.512269	2705.63	0.665949	26.7311	0.551842	21.9445	0.910321	1.03949	1.0314	0.941167	0.0936489	0.181389	0.129675	0.358886	0.0423865	0.0738873	0.0796745	0.196927	0.0328164	0.0265333	0.103038	0.0216085	0.0158853	0.0713776	0.0183225	90	0.707595	1026	0.0198807	60	0.587763	836	570.99	-99.84
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	12	272	118	[209,53,347,177]	0	3553	4329.13	2799	3069.03	2856	3076.53	0.641942	3225.05	0.504201	30.5201	0.746257	28.9098	0.575357	0.839554	1.06099	0.597472	0.149205	0.0735687	0.135047	0.242475	0.0813423	0.0350064	0.0741827	0.186326	0.0295793	0.025516	0.114765	0.0306126	0.0273198	0.111575	0.0209931	115	0.81126	2089	0.0281266	112	0.584334	1500	570.31	-477.89
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	13	546	102	[439,1,649,245]	1	1615	2746.49	979	1248.51	1257	1415.69	0.43785	9925.14	0.651992	52.3516	0.599337	45.4355	0.774816	0.823955	0.665991	0.687421	0.117488	0.0956177	0.117572	0.38569	0.0550323	0.051562	0.0765472	0.249822	0.0350791	0.0267008	0.121272	0.0408833	0.0361929	0.117853	0.0179733	398	0.72406	4127	0.0209163	147	0.646286	2194	580.08	-313.18
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	14	719	122	[586,59,771,264]	0	1934	2970.27	948	1139.77	1078	1244.43	0.5373	4431.71	0.629934	43.4539	0.311612	21.6075	0.882776	0.94684	0.784546	0.73689	0.0860875	0.410284	0.0409437	0.760838	0.0644346	0.289325	0.098009	0.620456	0.0404072	0.0358378	0.108069	0.0359891	0.029408	0.10611	0.0247848	239	0.701547	2341	0.0202539	67	0.509867	966	541.31	-239.06
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	15	439	134	[333,29,531,195]	1	2182	3025.62	1530	1844.96	2274	2606.97	0.438791	5087.4	0.601476	42.1377	0.587482	35.2249	0.768247	0.905235	0.876891	0.790161	0.345048	0.121775	0.248301	0.435021	0.218335	0.11547	0.217697	0.364864	0.025172	0.0214756	0.0901505	0.0185533	0.0153688	0.0927774	0.0170752	186	0.790198	3491	0.0187359	75	0.652198	1898	564.2	-379.88
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	16	751	184	[680,57,862,267]	1	1536	3060.4	846	1131.56	1258	1773.96	0.593467	5583.24	0.747927	36.744	0.405813	24.4006	0.80011	0.854931	0.821735	0.863969	0.0443317	0.20839	0.0236385	0.533021	0.0317017	0.0452058	0.0137997	0.291228	0.039757	0.0338029	0.113044	0.0438559	0.0319481	0.136933	0.0202224	231	0.768094	2534	0.021473	107	0.575018	1708	546.21	-187.84
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	17	186	169	[111,109,253,215]	0	2156	3895.88	1064	1191.33	1024	1084.07	0.616953	2539.88	0.650185	23.6636	0.709614	23.1005	0.947581	0.871071	0.784232	0.803007	0.178447	0.167644	0.247369	0.251954	0.0860996	0.100245	0.138387	0.164095	0.0372113	0.0310387	0.106681	0.0243512	0.0171896	0.0800825	0.0262346	119	0.720973	998	0.026081	76	0.584116	981	538.9	-530.16
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	18	856	169	[653,92,940,325]	1	1667	2460.67	1109	1291.91	1358	1700.59	0.393267	6330.81	0.678761	57.2991	0.276776	26.1244	0.904792	1.02435	0.900443	0.746004	0.214103	0.47658	0.100213	0.800935	0.0938215	0.348462	0.0676843	0.673041	0.0358781	0.0309083	0.107284	0.0351933	0.030933	0.117518	0.019989	292	0.710487	3939	0.0226799	87	0.55751	1264	509.7	-168.49
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	19	471	239	[391,176,548,327]	0	1805	3296.88	803	1039.05	1100	1207.06	0.520871	3870.68	0.652581	29.4103	0.582031	24.9832	0.900341	0.775501	0.752997	0.790458	0.140335	0.11727	0.0872147	0.354285	0.0674588	0.0522518	0.0488065	0.201309	0.0296911	0.0244047	0.0962297	0.0333081	0.0277527	0.0999052	0.0211888	154	0.737914	1560	0.0234834	96	0.619582	1234	497.98	-361.46
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	20	317	244	[241,198,353,278]	0	2727	4226.5	1172	1196.69	1584	1565.11	0.590475	1580.45	0.619914	21.5275	0.512227	16.3302	0.801784	0.945673	0.899045	0.821744	0.0112248	0.247666	0.0497821	0.439291	0.045522	0.140597	0.061128	0.296505	0.0150903	0.0116782	0.0585228	0.0165735	0.0121292	0.0506813	0.0196226	52	0.672008	773	0.0257186	51	0.486787	957	499.26	-460.54
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	21	892	285	[800,161,997,386]	1	1179	1896.15	1071	1352.87	1463	1598.87	0.621976	10177.9	0.591974	49.7145	0.709485	47.2765	1.05679	0.966225	0.860048	0.778777	0.0383189	0.0938842	0.0549269	0.213765	0.0316653	0.0384905	0.0132841	0.08775	0.0321294	0.0263508	0.103123	0.045349	0.0386726	0.127024	0.0112488	216	0.753789	3741	0.0138902	149	0.663692	3721	475.57	-111.69
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	22	105	270	[30,176,218,370]	1	1694	2688.07	1116	1196.26	1087	1180.53	0.644401	7574.23	0.601561	42.9797	0.783822	43.7585	1.04181	1.0089	0.857123	0.751669	0.044056	0.147834	0.0184856	0.184314	0.0282119	0.0862313	0.0173635	0.115494	0.0335154	0.0272513	0.104586	0.0316145	0.0261538	0.100085	0.0185984	263	0.746822	2605	0.0243992	199	0.656802	2056	477.66	-572.61
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	23	384	289	[208,207,437,334]	0	2639	3862.08	1453	1927.97	1500	2066.61	0.476166	4205.29	0.709067	44.6837	0.440252	31.2135	0.776045	0.937714	0.67919	0.577689	0.282979	0.225047	0.278446	0.471006	0.12463	0.104192	0.0789973	0.284387	0.024257	0.0185771	0.105612	0.0207406	0.0174764	0.0941598	0.0206163	190	0.749579	2431	0.029123	89	0.546909	1015	478.27	-441.26
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	24	551	363	[485,237,631,441]	1	1628	2696.89	971	1040.62	836	877.508	0.652816	6682.06	0.644992	39.3562	0.578771	33.1766	0.899225	1.0162	0.682951	0.782293	0.0123362	0.109943	0.0695199	0.356022	0.00903839	0.042939	0.0527663	0.20042	0.022799	0.0182857	0.0778105	0.0257449	0.0199543	0.0835854	0.0230776	283	0.739184	2742	0.0220509	163	0.617897	2300	443.16	-309.29
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	25	632	403	[566,237,696,450]	0	1465	2189.66	871	1212.74	817	948.179	0.514635	4302.03	0.677766	40.0011	0.42038	26.4835	0.803755	0.901692	0.908024	0.801143	0.26182	0.233854	0.230528	0.597039	0.139913	0.144118	0.11131	0.419583	0.0341853	0.0304244	0.111512	0.024485	0.0196844	0.087596	0.0191377	170	0.754564	1899	0.022043	82	0.524745	760	427.21	-263.89
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	26	248	359	[123,240,413,469]	1	1966	3752.96	1264	1380.7	1444	1602.67	0.565701	11417.9	0.546795	59.7869	0.624869	51.066	0.484376	0.415294	0.628622	0.61398	0.018909	0.119033	0.122664	0.341329	0.0343318	0.0856814	0.0527809	0.252962	0.01849	0.014038	0.0659152	0.0254739	0.0209782	0.0926297	0.0185423	434	0.684113	4359	0.0200946	204	0.668378	3230	426.11	-487.32
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	27	970	443	[864,350,1078,575]	1	822	1099.71	1232	1558.81	1893	2050.48	0.63643	11170.6	0.491048	63.148	0.674951	55.6596	1.01653	0.981188	0.734685	0.545273	0.171793	0.175139	0.119432	0.299387	0.0927175	0.116644	0.0820012	0.227729	0.0354552	0.0310545	0.113685	0.0326182	0.0294561	0.10051	0.00774008	172	0.636811	6203	0.00882546	94	0.552672	3436	373.44	-61.51
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	28	105	426	[28,339,231,512]	1	1874	3316.75	1546	1757.34	1782	2184.8	0.432108	5835.32	0.560738	43.5778	0.512577	32.2294	0.787467	0.796082	0.560848	0.52536	0.117739	0.163755	0.129307	0.51185	0.0886002	0.113771	0.143704	0.437368	0.0252314	0.0196496	0.0897407	0.0299774	0.0234592	0.120994	0.0177068	225	0.634276	2542	0.0234753	102	0.647203	1733	387.23	-567.05
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	29	762	391	[684,288,879,482]	1	1127	1575.77	848	1089.78	1568	1825.29	0.517727	6610.98	0.531363	43.933	0.850526	45.5831	0.977063	0.945299	0.941563	0.987893	0.119388	0.16434	0.15674	0.188077	0.0659073	0.103841	0.137211	0.205263	0.0292125	0.0246404	0.102425	0.0263378	0.0216002	0.0900207	0.0125066	166	0.708043	2194	0.0140362	86	0.501954	1992	413.36	-189.76
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	30	379	467	[220,387,480,563]	1	2830	4534.79	1766	2000.54	2093	2241.39	0.515085	7165.08	0.626363	45.3982	0.645519	41.0861	0.616909	0.642531	0.752478	0.659232	0.143133	0.124749	0.191481	0.302452	0.0579318	0.0832909	0.0954389	0.171636	0.0316704	0.0270709	0.103119	0.0305511	0.0259029	0.098189	0.0180014	263	0.746776	4742	0.021876	139	0.634886	2808	362.08	-426.75
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	31	689	474	[623,379,723,638]	0	1522	2244.44	1103	1326.88	926	1088.72	0.452932	3010.07	0.812693	40.5952	0.225301	16.2599	0.865771	0.68133	0.655411	0.591955	0.225414	0.589915	0.123891	0.786102	0.0551802	0.343209	0.0334939	0.552669	0.0413109	0.0354761	0.125374	0.0289925	0.0254757	0.0953715	0.0132375	81	0.655565	1288	0.0183727	49	0.464263	484	345.85	-241.99
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	32	573	490	[511,427,652,626]	1	1346	2245.08	868	1066.74	944	1024.13	0.572606	5066.25	0.64756	34.6479	0.698599	33.4315	1.01986	0.976949	0.863039	0.679537	0.158483	0.197107	0.227343	0.217522	0.0742518	0.0991255	0.099602	0.111142	0.0306614	0.0249819	0.101306	0.0318439	0.0254412	0.108578	0.0160484	154	0.691147	1671	0.0190006	100	0.621938	1489	343.23	-303.11
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	33	837	503	[781,396,916,587]	0	890	1352.26	938	1136.63	696	745.491	0.520071	4295.09	0.648225	34.274	0.817726	36.5658	1.05029	0.952818	0.885872	0.94334	0.137985	0.0740856	0.316653	0.0986134	0.0465139	0.0320363	0.160621	0.021089	0.0337837	0.0273425	0.117468	0.032546	0.0269289	0.0949691	0.00998573	84	0.578867	2189	0.00862895	36	0.438995	1145	346.43	-143.54
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	34	713	551	[664,456,766,625]	0	1186	1623.78	792	1043.19	720	802.574	0.645342	2661.94	0.64374	32.0706	0.317464	16.3212	0.994952	0.985908	0.765205	0.559894	0.0929988	0.410281	0.0594905	0.697852	0.0464621	0.231592	0.0261281	0.494272	0.0293205	0.0234899	0.111847	0.0183828	0.014367	0.0715587	0.0103216	52	0.515875	696	0.00828829	23	0.419153	166	321.09	-219.83
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	35	626	549	[586,439,666,626]	0	1162	1812.65	921	1012.57	852	958.496	0.520133	2623.45	0.727198	29.2667	0.393367	18.7337	0.967572	0.818247	0.771217	0.811973	0.0996487	0.308221	0.07244	0.545972	0.0254773	0.137945	0.0163153	0.331086	0.0271756	0.021376	0.0847475	0.0317515	0.0229464	0.0944435	0.0128444	62	0.609444	663	0.0160727	46	0.51167	516	317.85	-270.86
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	36	345	581	[225,502,441,702]	1	2452	3905.17	1399	1942.23	2192	2928.58	0.492652	8151.9	0.591993	45.1802	0.741302	44.218	0.556863	0.501738	0.5266	0.625588	0.158601	0.0571429	0.257738	0.250908	0.0944876	0.0112357	0.184637	0.189644	0.0252206	0.0203881	0.0965952	0.0262162	0.0199568	0.111845	0.0201256	327	0.635339	3386	0.0200625	154	0.553355	2543	295.44	-441.77
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	37	957	573	[905,506,1068,664]	0	749	1027.56	967	1061.05	787	849.89	0.497199	3769.43	0.632613	36.2096	0.440071	24.4071	0.916688	0.870824	0.775211	0.703584	0.0424812	0.240133	0.109289	0.551942	0.0177656	0.133773	0.0549124	0.380333	0.0322588	0.0264841	0.0859812	0.0334685	0.0262328	0.0927358	0.00264403	19	0.452931	358	0.00622245	24	0.410835	149	295.72	-68.31
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	38	133	559	[45,472,202,707]	1	2692	3712.33	2151	2256.8	2171	2562.78	0.507406	7842.26	0.517486	50.4046	0.685886	45.3981	0.735014	0.49628	0.396854	0.414249	0.106629	0.0446358	0.0901072	0.254396	0.0641474	0.0306043	0.0347585	0.141467	0.0234426	0.0184273	0.0821138	0.0266765	0.0212854	0.088588	0.0236799	387	0.701772	5159	0.0229661	153	0.658817	2786	296.4	-562.27
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	39	860	606	[797,533,954,682]	0	807	1059.55	1027	1162.05	888	1070.38	0.559099	4320.06	0.515763	36.6649	0.841924	37.5757	1.04943	0.95318	0.600368	0.538524	0.122819	0.248608	0.0970172	0.12682	0.0634592	0.170031	0.0790762	0.0744318	0.034598	0.0281804	0.101402	0.0269692	0.0208958	0.0860105	0.00804163	68	0.593514	1496	0.00473821	20	0.563865	484	282.09	-128.88
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	40	237	629	[178,481,308,695]	0	3614	4729.54	2743	3062.64	2418	2628.02	0.49076	4733.72	0.649708	42.1574	0.515248	32.5646	0.840855	0.855998	0.822399	0.473296	0.290322	0.1765	0.394614	0.466131	0.15537	0.0900588	0.252654	0.314438	0.0252809	0.0198358	0.10178	0.0150396	0.0116607	0.0641943	0.0211579	220	0.708401	3829	0.0265771	91	0.604655	1436	286.56	-506.04
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	41	472	630	[392,528,552,725]	1	1340	2014.46	1167	1594.62	1198	1431.95	0.495418	6690.73	0.515375	43.9563	0.703966	40.2564	0.795878	0.883097	0.56714	0.430622	0.0991303	0.0554667	0.0793312	0.297752	0.0557096	0.0483268	0.0515535	0.25987	0.0284904	0.0227121	0.09517	0.0215999	0.0166715	0.0730664	0.0154518	198	0.742185	2433	0.0213982	146	0.531183	1816	273.11	-363.96
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	42	726	655	[661,422,820,744]	1	854	1190.66	844	1014.94	750	824.292	0.510755	6662.99	0.725846	53.4684	0.354066	31.1852	1.04838	0.705142	0.825696	0.830644	0.348124	0.328554	0.262485	0.619654	0.159548	0.151016	0.0991519	0.426656	0.03333	0.0273504	0.108192	0.0359156	0.0286375	0.108068	0.00811495	109	0.586028	3028	0.00917732	56	0.472247	1410	277.82	-200.75
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	43	593	680	[516,602,686,755]	0	990	1699.36	846	961.012	909	1042.37	0.54098	4949.74	0.589226	33.2598	0.83826	35.072	0.967859	0.928436	0.896087	0.781891	0.0028392	0.078463	0.0779292	0.118169	0.00427481	0.0380255	0.0430119	0.0626455	0.0320608	0.0260705	0.0978951	0.0370397	0.0316989	0.105024	0.0103572	98	0.704419	1354	0.0134467	68	0.572207	1403	243.16	-287.84
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	44	830	716	[738,618,1078,815]	1	612	797.53	727	862.709	914	968.229	0.355213	12718.8	0.399588	82.6463	0.512843	57.4364	0.498094	0.496767	0.407173	0.356707	0.218746	0.118157	0.182602	0.541401	0.198753	0.10059	0.183506	0.485386	0.0394345	0.0325454	0.115295	0.029163	0.0241469	0.093502	0.00447708	139	0.545662	3275	0.00397878	24	0.503664	688	217.36	-103.67
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	45	178	729	[105,653,420,785]	1	1454	2407.64	716	970.258	1157	1352.01	0.471768	7581.86	0.77742	50.4037	0.361742	30.7133	0.640119	0.888196	0.915951	0.701996	0.217862	0.346792	0.155909	0.614034	0.122673	0.138554	0.107697	0.390708	0.0206043	0.0161679	0.0693986	0.0241746	0.0202281	0.0937149	0.0137808	239	0.739394	2163	0.0203404	98	0.674277	1495	213.78	-487.76
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	46	74	775	[23,642,134,851]	0	1639	3054.8	776	949.707	962	1067.81	0.581187	4187.26	0.691853	30.3107	0.556025	25.3304	0.828283	0.97772	0.969743	0.891944	0.136781	0.114737	0.0613017	0.358689	0.0685652	0.0513966	0.0300337	0.178351	0.0347999	0.0299143	0.096235	0.0389139	0.0342518	0.0921798	0.0155656	127	0.778193	1287	0.0169082	70	0.693968	1022	192.77	-598.88
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	47	679	762	[602,686,744,831]	0	886	1281.36	901	1153.5	861	999.171	0.705529	4439.34	0.559648	32.1051	0.866784	34.0788	1.0376	1.04324	0.940502	0.870539	0.0403511	0.0251559	0.119795	0.097472	0.0166357	0.0101637	0.0684892	0.0549005	0.0405299	0.0339719	0.125143	0.040263	0.0349014	0.122811	0.00844439	64	0.635247	2060	0.00877353	48	0.490855	1122	190.46	-244.17
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	48	511	767	[401,687,614,858]	1	974	1523.94	886	1047.12	890	1009.51	0.46373	7848.5	0.600422	45.0804	0.694812	42.4312	1.07321	1.00883	0.926102	0.842364	0.106291	0.101884	0.0154333	0.25768	0.0542921	0.0439054	0.0321476	0.177603	0.0272899	0.0220755	0.0936727	0.0399971	0.0340026	0.116222	0.0132358	208	0.723644	2472	0.0168701	123	0.590366	2130	183.91	-338.16
